feature,program
LGALS9→PTPRC,87
LGALS9→MET,87
LGALS9→CD44,87
LGALS9→LRP1,87
LGALS9→CD47,87
LGALS9→PTPRK,87
LGALS9→COLEC12,87
LGALS9→HAVCR2,87
LGALS9→MRC2,87
DLL1→NOTCH1,87
DLL1→NOTCH2,87
DLL1→NOTCH4,87
DLL1→NOTCH3,87
PODXL→SELL,87
ADGRB1→RTN4R,87
ADAM10→TSPAN15,87
ADAM10→TSPAN12,87
ADAM10→MET,87
ADAM10→IL6R,87
ADAM10→CD44,87
ADAM10→EPHA3,87
ADAM10→AXL,87
ADAM10→NOTCH1,87
ADAM10→NOTCH2,87
ADAM10→NRCAM,87
ADAM10→TSPAN17,87
ADAM10→TSPAN10,87
ADAM10→TREM2,87
TNFSF11→TNFRSF11B,81
TNFSF11→LGR4,81
TNFSF11→TNFRSF11A,87
EREG→ERBB3,79
ADAM12→ITGB1,87
ADAM12→ITGA9,91
TNFSF12→TNFRSF8,87
TNFSF12→CD163,91
TNFSF12→TNFRSF25,87
TNFSF12→TNFRSF12A,87
TNFSF14→TNFRSF6B,37
TNFSF14→LTBR,87
TNFSF14→TNFRSF14,85
ADAM23→ITGB3,87
ADAM23→ITGA5,87
ADAM23→ITGA4,87
ADAM11→ITGA4,89
ICOSLG→CD28,24
ICOSLG→CTLA4,24
ICOSLG→ICOS,24
SEMA7A→PLXNC1,87
TNFSF13→TNFRSF11B,85
TNFSF13→TNFRSF13B,85
TNFSF13→TNFRSF1A,85
TNFSF13→FAS,85
TNFSF13→SDC2,85
TNFSF13→TNFRSF17,85
TNFSF13→TNFRSF14,85
SLITRK3→PTPRD,119
SLITRK3→PTPRS,119
SLITRK5→PTPRD,55
TNFSF15→TNFRSF6B,36
TNFSF15→TNFRSF25,87
TGFA→ERBB3,79
TGFA→ERBB4,79
TNF→FFAR2,87
TNF→TNFRSF21,87
TNF→TNFRSF1A,85
TNF→TNFRSF1B,87
TNF→FAS,87
TNF→FLT4,87
TNF→NOTCH1,87
TNF→PTPRS,87
TNF→SEMA4C,87
TNF→VSIR,72
TNF→CELSR2,87
TNF→ICOS,87
HLA-B→CD8B2,72
HLA-B→LILRA1,85
HLA-B→CD8A,85
HLA-B→CD3D,24
HLA-B→CD8B,85
HLA-B→KIR2DL3,81
HLA-B→KIR3DL1,81
HLA-B→KIR3DL2,81
HLA-B→KLRD1,87
HLA-B→LILRB2,87
HLA-B→LILRB1,87
HLA-DRA→CD4,87
HLA-DRA→LAG3,87
HLA-DQA2→CD4,85
HLA-DQA2→LAG3,85
HLA-DQA1→CD4,87
HLA-DQA1→LAG3,87
HLA-DRB1→CD4,87
HLA-DRB1→LAG3,87
HLA-DQB1→CD4,87
HLA-DQB1→LAG3,87
ANXA1→EGFR,87
ANXA1→ADRA2A,87
ANXA1→FPR1,87
ANXA1→MTNR1A,13
ANXA1→GRM7,89
HLA-A→CD8B2,72
HLA-A→LILRA1,85
HLA-A→CD8A,85
HLA-A→ERBB2,91
HLA-A→CD8B,85
HLA-A→KIR2DL1,81
HLA-A→KIR2DL3,81
HLA-A→KIR3DL1,81
HLA-A→KIR3DL2,81
HLA-A→APLP2,87
HLA-A→LILRB2,87
HLA-A→LILRB1,87
HLA-DPB1→CD4,87
HLA-DPB1→LAG3,87
APP→TNFRSF21,24
APP→LRP6,24
APP→TSPAN15,24
APP→TSPAN12,24
APP→CD74,24
APP→NGFR,24
APP→ADRA2A,24
APP→FPR2,24
APP→GPC1,24
APP→PTGER2,24
APP→DCC,25
APP→MTNR1A,13
APP→NOTCH2,24
APP→LRP1,24
APP→AGER,24
APP→LRP10,24
APP→NCSTN,24
ITGB2→THY1,24
ITGB2→CD226,24
ICAM1→EGFR,87
ICAM1→IL2RA,87
ICAM1→MUC1,77
ICAM1→SPN,87
ICAM1→IL2RG,87
FCER2→CR2,89
ITGAV→THY1,87
ANXA2→TLR2,87
ANXA2→ROBO4,87
THBS1→TNFRSF11B,91
THBS1→LRP5,87
THBS1→ITGA4,87
THBS1→CD36,87
THBS1→SDC1,87
THBS1→ITGA6,87
THBS1→LRP1,87
THBS1→CD47,87
THBS1→PTPRJ,91
THBS1→SCARB1,85
CD55→CR1,87
CD55→ADGRE5,87
CD55→ADGRE2,87
CD14→TLR4,87
CD14→ITGB2,24
CD14→ITGB1,87
CD14→ITGA4,87
CD14→TLR1,87
CD14→TLR9,87
CD14→TLR6,87
MELTF→TFRC,72
CD48→CD2,85
CD48→CD244,85
CSF1→SIRPA,87
CSF1→CELSR3,87
HLA-C→CD8B2,72
HLA-C→LILRA1,85
HLA-C→CD8A,85
HLA-C→CD8B,85
HLA-C→KIR2DL1,81
HLA-C→KIR2DL3,81
HLA-C→KIR3DL1,81
HLA-C→KIR2DS4,71
HLA-C→LILRB2,87
HLA-C→KIR3DL3,81
HLA-C→LILRB1,87
TGFB3→ITGB3,87
TGFB3→ITGB1,87
TGFB3→ITGB5,87
TGFB3→ITGB6,89
TGFB3→ACVRL1,87
TGFB3→TGFBR3,87
CD28→CD80,87
CD28→CD86,87
ACE→BDKRB2,87
ACE→AGTR2,37
CDH1→LRP5,79
CDH1→EGFR,87
CDH1→IGF1R,79
CDH1→PTPRF,79
CDH1→CDH2,87
CDH1→PTPRM,87
CDH1→KLRG1,87
NCAM1→NCAM2,25
NCAM1→FGFR1,89
NCAM1→FGFR2,90
NCAM1→PTPRZ1,43
NCAM1→GFRA1,79
NCAM1→ROBO3,89
NCAM1→ROBO1,89
CEACAM1→EGFR,87
CEACAM1→HAVCR2,91
HLA-E→CD8B2,72
HLA-E→CD8A,85
HLA-E→CD8B,85
HLA-E→KLRK1,85
HLA-E→KIR3DL1,81
HLA-DOB→CD4,87
SELL→PODXL,87
SELL→MADCAM1,91
CD99→CD81,87
CD99→CD99L2,85
CD99→PILRB,87
CD99→PILRA,87
PLA2G2A→ITGB3,87
PLA2G2A→ITGB1,87
PLA2G2A→ITGAV,87
PLA2G2A→ITGA5,87
PLA2G2A→ITGA4,87
CD1D→LILRB2,87
ST6GAL1→EGFR,87
ST6GAL1→CD22,87
SPN→SIGLEC1,87
SELE→CEACAM1,87
SELE→CD44,87
SELE→GLG1,87
HLA-G→CD8B2,72
HLA-G→CD4,85
HLA-G→CD8A,85
HLA-G→CD8B,85
HLA-G→KLRC1,85
HLA-G→KIR3DL1,81
HLA-G→KLRD1,85
HLA-G→LILRB2,85
HLA-G→LILRB1,85
HLA-G→KIR2DL4,81
CD58→CD2,85
HLA-DPA1→CD4,87
HLA-DPA1→LAG3,87
CD22→PTPRC,87
EFNA1→EPHB6,87
EFNA1→EPHA1,44
EFNA1→EPHA2,87
EFNA1→EPHA3,87
EFNA1→EPHA8,70
EFNA1→EPHA5,89
EFNA1→EPHB1,84
EFNA1→EPHA4,87
EFNA1→EPHA7,89
EFNA1→EPHA10,79
EFNA1→EPHA6,60
KITLG→KIT,87
KITLG→EPOR,87
MRC1→PTPRC,87
MPZ→MPZL1,87
HLA-DMA→CD4,87
HLA-DMB→CD4,87
CD34→SELL,87
CD34→SELP,87
CD40LG→CD40,87
HLA-F→CD8B2,72
HLA-F→CD8A,85
HLA-F→CD8B,85
HLA-F→KIR3DL1,81
HLA-F→KIR3DL2,81
HLA-F→LILRB2,87
HLA-F→LILRB1,87
CEACAM8→CEACAM1,70
L1CAM→EGFR,81
L1CAM→ERBB2,81
L1CAM→FGFR2,81
L1CAM→ERBB3,81
L1CAM→PTPRZ1,43
L1CAM→EPHB2,81
L1CAM→CNTN1,81
ICAM3→ITGAL,85
ICAM3→CLEC4M,70
CD80→CD28,87
CD80→CTLA4,87
SDC2→PTPRJ,87
BTC→ERBB3,79
CEACAM6→EGFR,78
CEACAM6→CEACAM1,78
CD96→PVR,87
CD96→NECTIN1,72
CD200→CD200R1L,47
CD200→CD200R1,87
TNFSF9→PVR,87
TNFSF9→HLA-DPA1,87
TNFSF9→TNFRSF9,87
TNFSF9→IL13RA2,87
TNFSF9→ADGRG5,87
CD86→CD28,87
CD86→CTLA4,87
GDF5→ROR2,56
GDF5→ACVR1,56
BAG6→NCR3,85
FASLG→TNFRSF10B,85
FASLG→TNFRSF6B,37
FASLG→TNFRSF1A,85
FASLG→FAS,85
FLT3LG→FLT3,91
TNFSF10→TNFRSF10A,87
TNFSF10→TNFRSF11B,89
TNFSF10→TNFRSF10B,87
TNFSF10→TNFRSF10D,87
EFNA4→EPHA1,87
EFNA4→EPHA2,87
EFNA4→EPHA3,87
EFNA4→EPHA8,70
EFNA4→EPHA5,89
EFNA4→EPHA4,87
EFNA4→EPHA7,89
EFNA4→EPHA10,79
EFNA4→EPHA6,60
EFNB2→EPHB6,87
EFNB2→PECAM1,87
EFNB2→EPHA3,87
EFNB2→EPHB2,87
EFNB2→GRM5,52
EFNB2→EPHB3,87
EFNB2→EPHB4,87
EFNB2→EPHB1,84
EFNB2→EPHA4,87
EFNB2→GRM1,71
EFNB2→EPHA6,60
EFNA5→EPHB6,87
EFNA5→EPHA1,44
EFNA5→EPHA2,87
EFNA5→EPHA3,87
EFNA5→EPHA8,70
EFNA5→EPHB2,87
EFNA5→EPHA5,89
EFNA5→EPHB1,89
EFNA5→EPHA4,87
EFNA5→EPHA7,89
EFNA5→EPHA10,79
EFNA5→EPHA6,60
NRG3→ERBB3,89
NRXN1→NLGN1,43
NRXN1→NLGN2,43
NRXN1→NLGN3,43
NRXN2→NLGN1,89
NRXN2→NLGN2,87
NRXN2→NLGN3,89
B2M→CD1A,87
B2M→KLRC1,87
B2M→KLRC2,87
B2M→KIR2DL1,81
B2M→KIR2DL3,81
B2M→KIR3DL1,81
B2M→KLRD1,87
CXADR→JAML,24
SIRPA→CD47,87
JAG1→CD46,87
JAG1→NOTCH1,87
JAG1→NOTCH2,87
JAG1→NOTCH4,87
JAG1→NOTCH3,87
ADAM17→ITGB1,87
ADAM17→MET,87
ADAM17→ITGA5,87
ADAM17→IL6R,87
ADAM17→MUC1,77
ADAM17→NOTCH1,87
ADAM17→ERBB4,79
ADAM17→RHBDF2,87
DLK1→NOTCH1,57
DLK1→NOTCH2,57
DLK1→NOTCH4,57
DLK1→NOTCH3,57
EFNB1→EPHB6,91
EFNB1→ERBB2,91
EFNB1→EPHB2,91
EFNB1→EPHB3,87
EFNB1→EPHB4,87
EFNB1→EPHB1,84
EFNB1→EPHA4,87
EFNB1→EPHA6,60
CNTN2→NRP1,70
CNTN2→CNTN1,70
CNTN2→NRCAM,70
NRG1→ADGRL1,87
NRG1→EGFR,91
NRG1→HLA-DPB1,87
NRG1→GPC1,91
NRG1→LSR,87
NRG1→NETO2,87
NRG1→LGR4,91
DSG1→DSC3,43
DSC2→DSG3,43
DSC2→DSG4,32
DSC1→DSG3,43
DSC1→DSG4,34
CD47→SIRPA,87
CD47→SIRPG,85
BST2→LILRA4,87
CNTN1→PTPRZ1,43
CNTN1→NOTCH1,87
CNTN1→NOTCH2,87
CNTN1→NRCAM,87
ADAM9→ITGB1,87
ADAM9→ITGAV,87
ADAM9→ITGB5,87
ADAM9→ITGA6,87
ADAM9→ITGA3,87
ADAM15→ITGB3,87
ADAM15→ITGB1,87
ADAM15→ITGAV,87
ADAM15→ITGA5,87
ADAM15→ITGA9,87
MADCAM1→CD44,87
SEMA5A→MET,87
SEMA5A→PLXNA3,87
SEMA5A→PLXNA1,87
SEMA5A→PLXNB3,85
ALCAM→CHL1,87
ALCAM→NRP1,87
ALCAM→CD6,91
DSG2→DSC1,43
DSG2→DSC3,43
SELPLG→SIGLEC5,87
SELPLG→ITGB2,24
SELPLG→ITGAM,87
SELPLG→SELL,85
SELPLG→SELP,87
DSC3→DSG3,43
DSC3→DSG4,32
ICAM4→ITGB3,91
ICAM4→ITGB2,24
ICAM4→ITGB1,91
ICAM4→ITGAV,91
ICAM4→ITGA2B,89
ICAM4→ITGAM,87
ICAM4→ITGA4,91
ICAM4→ITGAL,91
NECTIN1→CD96,72
NECTIN1→NECTIN4,72
EFNB3→EPHB6,87
EFNB3→EPHB2,87
EFNB3→EPHB3,87
EFNB3→EPHB4,87
EFNB3→EPHB1,87
EFNB3→EPHA4,87
NTRK3→PTPRF,87
NTRK3→PTPRD,87
NTRK3→PTPRS,85
HLA-DRB5→CD4,87
HLA-DRB5→LAG3,87
TIGIT→PVR,87
TIGIT→NECTIN2,72
IGSF11→VSIR,72
NCR3LG1→NCR3,91
EPGN→EGFR,75
DLK2→NOTCH1,87
BTLA→CD79A,87
BTLA→CD247,85
BTLA→TNFRSF14,85
PDPN→CLEC1B,71
JAML→CXADR,24
CNTN4→PTPRG,87
NLGN4X→NRXN1,43
CADM3→NECTIN1,72
NLGN1→NRXN1,43
NLGN1→NRXN3,89
NLGN1→NRXN2,89
CD177→PECAM1,86
NLGN2→NRXN1,43
NLGN2→NRXN3,87
NLGN2→NRXN2,87
LILRB4→LAIR1,87
CD200R1→CD200,87
SECTM1→CD7,87
NRG4→EGFR,70
NECTIN2→CD96,72
NECTIN2→CD226,72
NECTIN2→TIGIT,72
EDA→EDA2R,87
EDA→EDAR,89
SEMA4D→PLXNB2,24
SEMA4D→PLXNB1,87
SEMA4D→ERBB2,87
SEMA4D→MET,87
SEMA4D→PLXNB3,85
HAVCR1→CD300LB,87
TIMD4→HAVCR1,87
NECTIN4→TIGIT,72
SLITRK1→PTPRD,27
SLITRK1→PTPRS,27
ADAM2→ITGB1,37
ADAM2→ITGA6,37
ADAM2→ITGB7,37
ADAM2→ITGA9,37
PDCD1LG2→PDCD1,87
JAM3→ITGB1,87
SEMA4C→PLXNB2,24
SLITRK2→PTPRD,91
SLITRK2→PTPRS,91
SEMA6A→PLXNA2,87
SEMA6A→PLXNA4,87
ADAM7→ITGA4,37
ADAM7→ITGB7,31
SEMA4A→PLXNB2,24
SEMA4A→PLXNB1,87
SEMA4A→LILRB2,87
SEMA4A→PLXNB3,85
SEMA4A→PLXND1,87
SEMA6B→PLXNA2,87
SEMA6B→PLXNA4,87
SLITRK6→PTPRS,74
NRXN3→NLGN1,89
NRXN3→NLGN2,87
NRXN3→NLGN3,89
CD209→CEACAM1,91
SEMA4B→DCBLD2,87
NECTIN3→PVR,72
NECTIN3→NECTIN1,72
NECTIN3→TIGIT,72
NECTIN3→NECTIN2,72
DLL4→NOTCH1,87
DLL4→NOTCH2,87
DLL4→NOTCH4,87
DLL4→NOTCH3,87
PDGFC→PDGFRB,87
PDGFC→PDGFRA,87
PDGFC→FLT1,87
PDGFC→FLT4,87
PDGFC→KDR,87
LRRC4B→PTPRF,89
LRRC4B→PTPRD,89
LRRC4B→PTPRS,89
SEMA4G→PLXNB2,85
DLL3→NOTCH1,87
DLL3→NOTCH2,87
DLL3→NOTCH4,87
DLL3→NOTCH3,87
PODXL2→SELL,91
NLGN3→NRXN1,43
NLGN3→NRXN3,89
NLGN3→NRXN2,89
IL1RAPL1→PTPRF,89
IL1RAPL1→PTPRD,89
IL1RAPL1→PTPRS,89
CD274→CD80,87
CD274→PDCD1,87
CLEC1B→KLRB1,71
CLEC1B→PDPN,71
SIRPG→CD47,85
SEMA5B→PLXNA3,87
SEMA5B→PLXNA1,87
CKLF→LRP6,87
CKLF→CCR4,85
KL→FGFR1,87
CLEC2D→KLRB1,87
ADAM29→ITGA4,61
ADAM28→ITGA4,87
HHLA2→TMIGD2,71
ICAM5→ITGB2,24
ICAM5→ITGAL,91
TNFSF18→TNFRSF18,71
JAG2→NOTCH1,87
JAG2→NOTCH2,87
JAG2→NOTCH4,87
JAG2→NOTCH3,87
TNFSF13B→TNFRSF13B,87
TNFSF13B→TFRC,87
TNFSF13B→HLA-DPB1,87
TNFSF13B→CD40,87
TNFSF13B→TNFRSF17,87
TNFSF13B→TNFRSF13C,24
COL6A6→CD44,89
COL6A6→SDC1,89
COL6A6→GP6,89
COL6A5→CD44,86
COL6A5→SDC1,86
COL6A5→GP6,86
AGRN→MUSK,37
AGRN→LRP4,87
AGRN→ITGB1,87
AGRN→LRP2,79
AGRN→LRP1,87
AGRN→DAG1,87
LAMA5→CD44,87
LAMA5→SDC1,87
LAMA5→BCAM,85
LAMA5→DAG1,87
COL1A1→ITGA5,87
COL1A1→CD44,87
COL1A1→CD36,87
COL1A1→SDC1,87
COL1A1→FLT4,87
COL1A1→DDR1,87
COL1A1→DDR2,87
COL1A1→GP6,89
COL1A1→CD93,87
COL2A1→TNFRSF10A,53
COL2A1→ITGA2B,53
COL2A1→CD44,53
COL2A1→SDC1,53
COL2A1→DDR1,53
COL2A1→GP6,89
COL4A1→CD44,87
COL4A1→SDC1,87
COL4A1→CD47,87
COL4A1→GP6,89
COL4A1→CD93,87
FN1→TNFRSF11B,91
FN1→CD79A,87
FN1→CD44,87
FN1→TSHR,81
FN1→ITGA2,87
FN1→SDC1,87
FN1→C5AR1,87
FN1→ITGA6,87
FN1→SDC2,87
FN1→FLT4,87
FN1→PLAUR,87
FN1→ITGA9,87
FN1→IL17RC,87
FN1→ROBO4,87
VTN→TNFRSF11B,89
VTN→ITGA5,89
VTN→PVR,89
VTN→ITGB6,89
VTN→ITGA3,89
VTN→KDR,89
VTN→PLAUR,89
VTN→CD47,89
VWF→TNFRSF11B,89
VWF→SELP,87
VWF→SIRPA,87
VWF→LRP1,87
VWF→SCARA5,89
VWF→STAB2,89
LAMB1→CD44,87
LAMB1→ITGA1,87
LAMB1→DAG1,87
COL1A2→ITGB3,87
COL1A2→ITGA2B,89
COL1A2→CD44,87
COL1A2→CD36,87
COL1A2→SDC1,87
COL1A2→FLT4,87
COL1A2→GP6,89
COL1A2→CD93,87
COL4A2→ITGB3,87
COL4A2→CD44,87
COL4A2→ITGB5,87
COL4A2→SDC1,87
COL4A2→GP6,89
COL4A2→CD93,87
LAMC1→CD44,87
LAMC1→ITGA1,87
LAMC1→DAG1,87
COL6A1→CD44,24
COL6A1→SDC1,87
COL6A1→ITGA6,24
COL6A1→GP6,22
COL6A2→CD44,24
COL6A2→SDC1,87
COL6A2→GP6,22
COL6A3→CD44,87
COL6A3→SDC1,87
COL6A3→GP6,89
COL9A1→CD44,65
COL9A1→SDC1,65
COL9A1→GP6,65
TNXB→SDC1,87
LAMA2→RPSA,87
LAMA2→CD44,87
LAMA2→ITGA1,87
LAMA2→DAG1,87
TNC→EGFR,87
TNC→ITGA5,87
TNC→ITGA2,87
TNC→SDC1,87
TNC→PTPRB,87
TNC→PTPRZ1,43
TNC→CNTN1,87
TNC→ITGA7,87
LAMA1→RPSA,87
LAMA1→CD44,87
LAMA1→SDC2,87
LAMA1→GPC1,87
LAMA1→ITGA1,87
LAMA1→DAG1,87
COL4A5→CD44,87
COL4A5→SDC1,90
COL4A5→CD47,90
COL4A5→GP6,89
COL4A5→CD93,90
THBS2→ITGA4,87
THBS2→CD36,87
THBS2→SDC1,87
THBS2→ITGA6,87
THBS2→CD47,87
THBS2→NOTCH4,87
THBS2→NOTCH3,87
THBS4→CD36,87
