Program,Interaction,Weight
0,MIF→TNFRSF14,0.8338160196114698
0,HLA-DRB5→CD4,0.8012982650092244
0,SELPLG→ITGB2,0.7654457842772378
0,LTB→TNFRSF1A,0.7483980104907987
0,HLA-F→LILRB1,0.7438952811319864
0,TNFSF13→TNFRSF1A,0.7095456967590774
0,SELPLG→SELL,0.6954654611593885
0,FADD→FAS,0.6924035206529792
0,TNFSF13→TNFRSF14,0.6874288783484526
0,APP→LRP10,0.6861170512815886
0,HLA-G→LILRB1,0.6791776885065961
0,HLA-C→CD8B,0.6653401018644418
0,HLA-DRB1→LAG3,0.6611875601694633
0,APP→CD74,0.6570050447413899
0,HLA-A→CD8B,0.6567129028240513
0,HLA-B→CD8B,0.6506116274211281
0,HLA-DPB1→LAG3,0.6499467471990185
0,HLA-E→CD8B,0.6480917920600867
0,HLA-DPA1→LAG3,0.6466752326073527
0,SERPINA1→LRP1,0.645696412502104
1,VEGFA→NRP1,0.7157668296517519
1,CD99→CD81,0.6994544241988468
1,TXLNA→STX4,0.692531291977251
1,TGFB1→CXCR4,0.6794627382626601
1,CALM1→PTPRA,0.6774248070675712
1,PTGS2→CAV1,0.6752670980131518
1,ICAM4→ITGAV,0.673443130233014
1,TIMP2→CD44,0.6731435549628076
1,VEGFB→ADRB2,0.6662227193388899
1,HBEGF→CD44,0.6650535743407311
1,ICAM4→ITGB1,0.6619096396027858
1,VEGFA→NRP2,0.6599083875835468
1,TNFSF12→TNFRSF12A,0.6560064100196948
1,VEGFA→SIRPA,0.6559442295552526
1,GNAI2→CAV1,0.6507988392599773
1,TNFSF9→HLA-DPA1,0.6477047387375289
1,ACTR2→ADRB2,0.6445244013660645
1,VIM→CD44,0.6443874699767393
1,CALR→ITGAV,0.6433995067585283
1,BMP2→ENG,0.642594917374504
2,ADCYAP1→RAMP2,1.0134018201897732
2,IAPP→RAMP2,1.0061418074289368
2,GNAI2→IGF1R,0.9846067561624544
2,AVP→GPR20,0.9647277914696044
2,PTHLH→RAMP2,0.9641654096157044
2,GNAI2→UNC5B,0.960324775664607
2,CNTF→IL6R,0.9462685122741428
