Program,R2,RMSE,MAE
0,0.9003862300377159,0.0887427095850143,0.06453269862855708
1,0.9266390011885958,0.08757869441624258,0.05642999941457915
2,-6.588901589623376,0.00905727305853661,0.005261817975375421
3,0.6353198804658291,0.14159287146318236,0.093886011254307
4,0.623288767106567,0.06952965211035093,0.05127460217895353
5,0.6313337680531854,0.079428164051198,0.062319152527997614
6,-1.304821162582996,0.012442406770343008,0.009153205145271796
7,0.23566118935143632,0.012063486489110535,0.007244003742429714
8,-0.603077747175331,0.08135102644245493,0.06161557450480184
9,0.6709422080262237,0.17871410719586045,0.09017412996225786
